Precios_promedio_diarios_y_mensuales_en_estaciones_de_servicio
Fecha,Aguascalientes,BajaCalifornia,BCaliforniaSur,Campeche,Chiapas,Chihuahua,CDMX,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacan,Morelos,Mexico,Nayarit,NuevoLeon,Oaxaca,Puebla,Quertaro,QuintanaRoo,SanLuisPotosi,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas
2017/01,16.19,16.07,16.11,15.67,15.86,16.04,16.32,15.8,16.06,16.25,16.1,16.03,15.85,16.46,16.22,15.91,16.16,16.31,16.28,15.86,15.86,16.04,15.89,15.85,16.12,16.12,15.57,15.16,15.79,15.52,15.44,16.19
2017/02,16.18,16.04,16.07,15.65,15.85,14.26,16.29,15.85,16.02,16.21,16.06,16.02,15.89,16.44,16.22,15.88,16.13,16.29,16.26,15.86,15.86,16.02,15.87,15.82,16.09,16.14,15.56,15.19,15.8,15.53,15.41,16.21
2017/03,16.1,15.85,16,15.56,15.76,14.76,16.21,15.71,15.95,16.15,16,15.98,15.78,16.36,16.14,15.81,16.05,16.23,16.18,15.77,15.77,15.95,15.79,15.76,16.02,15.77,15.49,14.15,15.7,15.44,15.34,16.12
2017/04,16.12,15.87,16.02,15.59,15.78,14.74,16.2,15.62,15.99,16.17,16.03,15.99,15.81,16.36,16.16,15.84,16.06,16.25,16.18,15.79,15.79,15.98,15.81,15.78,16.04,15.67,15.52,13.87,15.72,15.47,15.36,16.14
2017/05,16.03,15.83,15.93,15.49,15.69,14.66,16.08,15.47,15.89,16.07,15.93,15.9,15.72,16.24,16.07,15.75,15.94,16.16,16.06,15.7,15.69,15.89,15.72,15.69,15.95,15.57,15.42,13.72,15.62,15.38,15.26,16.05
2017/06,15.93,15.81,15.83,15.39,15.59,14.62,15.95,15.41,15.79,15.98,15.83,15.79,15.61,16.12,15.97,15.65,15.83,16.07,15.93,15.6,15.58,15.78,15.62,15.59,15.85,15.45,15.33,13.51,15.52,15.27,15.17,15.96
2017/07,15.86,15.71,15.75,15.32,15.51,14.49,15.86,15.36,15.71,15.89,15.75,15.71,15.52,16.03,15.89,15.56,15.74,15.99,15.88,15.51,15.5,15.7,15.55,15.5,15.77,15.33,15.25,13.33,15.45,15.19,15.09,15.87
2017/08,15.92,15.8,15.82,15.38,15.58,14.49,15.92,15.45,15.78,15.97,15.82,15.78,15.59,16.09,15.97,15.63,15.8,16.06,16,15.59,15.57,15.76,15.62,15.58,15.84,15.4,15.32,13.36,15.52,15.26,15.16,15.94
2017/09,16.15,15.98,16.04,15.6,15.81,14.83,16.14,15.67,16.01,16.2,16.05,16.01,15.82,16.32,16.19,15.85,16.03,16.28,16.25,15.81,15.79,15.99,15.84,15.8,16.07,15.63,15.55,13.56,15.74,15.49,15.38,16.16
2017/10,16.28,16.12,16.17,15.72,15.93,14.98,16.26,15.84,16.13,16.34,16.17,16.14,15.94,16.44,16.32,15.98,16.15,16.4,16.42,15.93,15.91,16.11,15.97,15.93,16.2,15.79,15.67,13.68,15.87,15.61,15.5,16.29
